Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
10831508818,18816,76061,4096,1,1,128,1,1,50,0.025,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,221,wrapped_transpose
10831527666,14528,76061,768,1,1,128,1,1,48,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,221,loop_slice_fusion
10831542226,11743,76061,768,1,1,128,1,1,116,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,221,loop_multiply_fusion_1
10831553970,9696,76061,6144,1,1,128,1,1,26,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,221,loop_transpose_fusion
10831563634,448,76061,1,1,1,1,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,221,loop_multiply_fusion
10831564146,576,76061,1,1,1,1,1,1,18,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,221,input_concatenate_fusion_2
10831564754,768,76061,1,1,1,2,1,1,24,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,221,input_concatenate_fusion_1
10831565586,1088,76061,1,1,1,4,1,1,28,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,221,input_concatenate_fusion
10831566738,928,76061,1,1,1,16,1,1,20,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,221,loop_concatenate_fusion_10
10831567730,864,76061,1,1,1,32,1,1,18,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,221,loop_concatenate_fusion_9
10831568658,800,76061,1,1,1,64,1,1,18,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,221,loop_concatenate_fusion_8
10831569490,960,76061,1,1,1,128,1,1,20,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,221,loop_concatenate_fusion_7
10831570482,960,76061,2,1,1,128,1,1,20,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,221,loop_concatenate_fusion_6
10831571506,1024,76061,4,1,1,128,1,1,20,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,221,loop_concatenate_fusion_5
10831572594,1088,76061,8,1,1,128,1,1,20,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,221,loop_concatenate_fusion_4
10831573746,1056,76061,16,1,1,128,1,1,18,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,221,loop_concatenate_fusion_3
10831574866,1088,76061,32,1,1,128,1,1,18,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,221,loop_concatenate_fusion_2
10831576018,1248,76061,64,1,1,128,1,1,18,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,221,loop_concatenate_fusion_1
10831577330,1024,76061,1,1,1,1,1,1,16,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,221,loop_multiply_fusion_2
10831578418,11040,76061,1024,1,1,128,1,1,46,0.000,0.000,,,,,NVIDIA GeForce RTX 5090 (0),1,,221,loop_concatenate_fusion
